Bid Price,Bid Size,Bid Amount,Ask Price,Ask Size,Ask Amount,Spread,Diff Size
1272.11,0.01618866,1,1312.29,0.04919998,1,-40.180000000000064,-0.03301132
1272.0,8.09999262,7,1312.38,0.01543757,1,-40.38000000000011,8.08455505
1271.96,0.02,1,1312.41,0.1,1,-40.450000000000045,-0.08
1271.88,0.02,1,1312.42,0.5,1,-40.539999999999964,-0.48
1271.87,0.0098,1,1312.48,0.16,1,-40.61000000000013,-0.1502
1271.83,1.04254524,2,1312.5,0.02866568,2,-40.67000000000007,1.01387956
1271.77,0.18241585,1,1312.54,0.10564245,1,-40.76999999999998,0.07677339999999999
1271.74,0.01962613,1,1312.59,0.44736358,1,-40.84999999999991,-0.42773744999999996
1271.65,0.0442339,5,1312.81,0.13,1,-41.159999999999854,-0.08576610000000001
1271.63,0.0196459,1,1312.92,0.12377814,1,-41.289999999999964,-0.10413223999999999
1271.58,0.02858052,1,1313.0,25.37058588,2,-41.42000000000007,-25.34200536
1271.51,0.06534214,1,1313.25,0.00578345,1,-41.74000000000001,0.059558690000000004
1271.4,0.10345829,1,1313.33,0.013,1,-41.929999999999836,0.09045829
1271.38,0.00502967,1,1313.35,0.07305151,1,-41.9699999999998,-0.06802184
1271.33,0.08675868,1,1313.38,0.0142045,1,-42.05000000000018,0.07255418000000001
1271.21,0.01611736,1,1313.45,0.05320096,2,-42.24000000000001,-0.037083599999999994
1271.12,0.011,1,1313.68,0.03319202,1,-42.56000000000017,-0.022192020000000003
1271.11,0.24,1,1313.79,0.0059998,1,-42.680000000000064,0.2340002
1271.06,0.23513484,1,1313.89,0.16,1,-42.830000000000155,0.07513484000000001
1271.02,0.00136258,1,1313.94,1.12962005,1,-42.92000000000007,-1.12825747
1271.0,0.93477449,6,1313.95,0.09503959,1,-42.950000000000045,0.8397349000000001
1270.92,0.02145904,1,1314.23,0.02486932,1,-43.309999999999945,-0.0034102800000000016
1270.9,0.07935532,1,1314.25,0.78186936,1,-43.34999999999991,-0.70251404
1270.86,8.05e-06,1,1314.28,0.2,1,-43.42000000000007,-0.19999195
1270.84,0.03910799,1,1314.43,0.01930206,1,-43.590000000000146,0.019805930000000003
1270.78,0.00590005,1,1314.74,0.02375525,1,-43.960000000000036,-0.017855199999999998
1270.58,0.4,1,1315.0,103.53546236,11,-44.42000000000007,-103.13546235999999
1270.56,0.03910096,1,1315.12,3.0,1,-44.559999999999945,-2.96089904
1270.52,0.01574156,1,1315.13,0.02,1,-44.61000000000013,-0.004258439999999999
1270.46,0.011,1,1315.17,0.033,2,-44.710000000000036,-0.022000000000000002
1270.36,0.02071451,1,1315.19,0.01233577,1,-44.830000000000155,0.008378739999999999
1270.35,1276.24,1,1315.34,0.01,1,-44.99000000000001,1276.23
1270.3,0.90265185,1,1315.37,0.009,1,-45.069999999999936,0.89365185
